,F1-FN,,IC.tstat,IC.sd,,,,,,,,,,,
% Tgt +0,7.97,0.08,2.67,0.06,2.66,0.82,-0.26,-0.35,-0.93,-1.00,-1.59,-1.48,-2.53,-5.58,-1.77
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21)",6.78,0.09,3.00,0.09,1.55,0.46,0.39,0.14,0.52,-0.66,-1.24,-2.10,-3.61,-5.44,-8.65
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24)",6.53,0.09,2.95,0.09,1.44,0.38,0.44,0.08,0.43,-0.43,-1.32,-2.05,-3.65,-5.32,-8.65
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW36)",7.05,0.09,3.00,0.09,1.41,0.47,0.23,0.11,0.07,0.00,-1.10,-2.02,-3.68,-5.91,-9.96
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW36)",6.87,0.09,2.96,0.09,1.35,0.43,0.26,-0.01,0.17,0.03,-1.06,-2.10,-3.70,-5.80,-9.96
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26)",6.46,0.09,2.92,0.09,1.31,-0.16,0.77,0.39,0.30,-0.18,-1.21,-2.35,-3.40,-5.43,-8.65
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26)",6.33,0.09,2.88,0.09,1.24,-0.21,0.74,0.41,0.26,-0.19,-1.10,-2.36,-3.40,-5.38,-8.65
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26,ROW36)",6.51,0.09,2.93,0.09,0.94,0.48,0.21,0.43,-0.04,0.27,-1.34,-2.44,-3.09,-5.84,-9.96
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26,ROW36)",6.56,0.09,2.97,0.09,0.93,0.56,0.17,0.52,-0.13,0.38,-1.39,-2.42,-3.14,-5.89,-9.96
EBITDA/EV,2.10,0.03,0.90,0.08,0.79,0.73,0.49,-0.23,-0.37,0.31,-0.27,0.61,-0.42,-1.47,-3.98
% Tgt +3 SectRank,2.76,0.03,1.06,0.08,0.68,0.39,0.05,-1.10,-1.36,-1.71,-1.54,-1.85,-1.19,-2.33,-1.86
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24,ROW36)",6.32,0.08,2.72,0.09,0.64,-0.27,0.35,0.28,0.35,-0.02,-1.41,-1.69,-2.60,-5.94,-7.82
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW36)",6.41,0.08,2.76,0.09,0.64,-0.21,0.42,0.40,0.23,-0.02,-1.62,-1.50,-2.66,-6.02,-7.82
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21)",6.02,0.08,2.71,0.08,0.50,0.17,0.39,0.30,0.58,-0.41,-1.31,-1.57,-2.73,-5.70,-7.93
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24)",5.76,0.08,2.66,0.09,0.43,0.13,0.21,0.41,0.58,-0.33,-1.22,-1.73,-2.75,-5.52,-7.93
AFG Investment Grade,2.89,0.03,1.03,0.06,0.36,-0.52,-0.72,-0.96,-2.65,#N/A,#N/A,#N/A,#N/A,#N/A,-1.77
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26,ROW30)",5.42,0.08,2.77,0.10,0.25,-0.91,0.18,0.90,-0.16,0.24,-0.44,-2.05,-3.43,-5.44,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26,ROW30)",5.27,0.08,2.74,0.10,0.16,-0.80,-0.06,1.03,-0.21,0.19,-0.30,-2.03,-3.45,-5.40,#N/A
POE Screen,-0.69,0.01,0.27,0.04,0.09,0.73,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.27
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW30,ROW36)",4.10,0.07,2.44,0.09,0.06,-0.24,0.07,0.53,-0.06,-0.73,-1.23,-1.64,-3.23,-4.36,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW30,ROW36)",5.12,0.08,2.81,0.10,0.04,0.01,-0.15,0.79,0.15,0.00,-1.09,-1.54,-3.70,-5.36,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW33,ROW36)",4.46,0.07,2.54,0.09,0.03,-0.11,0.60,0.80,-0.13,-1.00,-0.99,-2.11,-3.20,-4.72,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30,ROW36)",4.20,0.07,2.48,0.09,0.03,-0.18,0.11,0.55,-0.05,-0.65,-1.36,-1.71,-3.11,-4.47,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW30,ROW36)",5.19,0.08,2.85,0.09,0.00,0.05,-0.07,0.72,0.39,-0.06,-1.29,-1.73,-3.43,-5.44,#N/A
