Factor,Return,IC,T-Stat,Dev,1,2,3,4,5,6,7,8,9,10,NA,Available,Average,Std. Dev.,Low,High
Fin Sust,4.85,0.0745,1.9190,0.0796,3.6796,2.67,1.75,1.59,0.99,1.46,2.21,-0.09,-0.50,-1.25,-1.88,56.72,"1,662.60",8.29,5.00,"3,328.00"
% Tgt +0,5.31,0.1016,3.2978,0.0686,3.6118,1.45,0.25,0.54,-0.36,-0.72,-0.99,-1.51,-2.03,-1.87,0.59,90.70,4.71,5.93,-100.00,"1,484.68"
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW26)",5.25,0.0845,2.8200,0.0805,2.8059,1.46,1.06,0.08,-0.37,-0.16,-0.75,-0.53,-1.60,-2.52,0.55,96.99,52.91,0.43,3.67,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW26)",5.25,0.0845,2.8200,0.0805,2.8059,1.46,1.06,0.08,-0.37,-0.16,-0.75,-0.53,-1.60,-2.52,0.55,96.99,52.91,0.43,3.67,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24,ROW26,ROW36)",6.36,0.0992,3.3794,0.0817,2.7834,1.96,1.12,0.29,-0.08,-0.18,-0.55,-1.15,-1.38,-3.69,-1.05,99.41,52.67,0.36,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW26,ROW36)",6.36,0.0992,3.3794,0.0817,2.7834,1.96,1.12,0.29,-0.08,-0.18,-0.55,-1.15,-1.38,-3.69,-1.05,99.41,52.67,0.36,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW26,ROW36)",5.45,0.0930,3.1541,0.0838,2.5982,2.00,0.91,0.27,-0.13,-0.41,-0.74,-0.80,-1.69,-2.98,-0.06,98.85,52.62,0.38,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW26,ROW36)",5.45,0.0930,3.1541,0.0838,2.5982,2.00,0.91,0.27,-0.13,-0.41,-0.74,-0.80,-1.69,-2.98,-0.06,98.85,52.62,0.38,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW24,ROW26)",4.95,0.0854,2.8551,0.0849,2.5518,1.36,1.21,0.11,0.38,-0.32,-1.15,-1.06,-1.22,-2.49,0.55,96.99,52.50,0.37,3.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW26)",4.95,0.0854,2.8551,0.0849,2.5518,1.36,1.21,0.11,0.38,-0.32,-1.15,-1.06,-1.22,-2.49,0.55,96.99,52.50,0.37,3.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24)",5.03,0.0892,2.9847,0.0859,2.5280,2.10,0.61,0.28,-0.11,-0.13,-0.87,-0.99,-1.43,-2.63,0.55,96.99,53.10,0.50,2.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21)",5.64,0.0920,3.1104,0.0855,2.4954,1.82,0.71,1.07,0.25,-0.55,-0.82,-1.09,-1.19,-3.21,-0.71,98.34,52.34,0.42,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW24)",5.64,0.0920,3.1104,0.0855,2.4954,1.82,0.71,1.07,0.25,-0.55,-0.82,-1.09,-1.19,-3.21,-0.71,98.34,52.34,0.42,1.00,100.00
