Factor,Return,IC,T-Stat,Dev,1,2,3,4,5,6,7,8,9,10,NA,Available,Average,Std. Dev.,Low,High
IQS Decile,5.41,0.0910,2.4802,0.1006,4.7974,2.11,1.61,0.39,0.85,-0.62,1.46,1.27,0.60,-0.89,-3.37,61.59,56.13,1.02,10.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW24,ROW26)",4.01,0.0830,2.7893,0.0688,3.6125,0.26,-0.23,-0.82,-0.33,-1.51,-1.51,-1.18,-1.76,-0.84,-4.56,96.83,51.21,0.67,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW26)",4.01,0.0830,2.7893,0.0688,3.6125,0.26,-0.23,-0.82,-0.33,-1.51,-1.51,-1.18,-1.76,-0.84,-4.56,96.83,51.21,0.67,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW24,ROW26)",3.74,0.0898,3.0136,0.0614,3.5948,0.76,-0.22,-0.12,-1.18,-1.33,-1.37,-1.53,-2.37,-0.52,-4.56,96.83,51.28,0.47,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW26)",3.74,0.0898,3.0136,0.0614,3.5948,0.76,-0.22,-0.12,-1.18,-1.33,-1.37,-1.53,-2.37,-0.52,-4.56,96.83,51.28,0.47,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW26)",4.08,0.0910,3.0704,0.0594,3.5601,0.61,-0.30,-0.33,-0.89,-0.85,-1.40,-1.40,-2.66,-0.84,-5.82,97.97,51.33,0.41,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26)",4.08,0.0910,3.0704,0.0594,3.5601,0.61,-0.30,-0.33,-0.89,-0.85,-1.40,-1.40,-2.66,-0.84,-5.82,97.97,51.33,0.41,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW24,ROW26)",3.94,0.0857,2.8758,0.0604,3.5591,0.53,-0.53,0.06,-0.90,-1.51,-1.13,-1.46,-2.18,-0.74,-4.56,96.83,51.07,0.57,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW26)",3.94,0.0857,2.8758,0.0604,3.5591,0.53,-0.53,0.06,-0.90,-1.51,-1.13,-1.46,-2.18,-0.74,-4.56,96.83,51.07,0.57,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW24,ROW26)",3.86,0.0867,2.9270,0.0650,3.5047,0.48,-0.57,-0.18,-0.51,-1.83,-0.91,-1.45,-2.21,-0.81,-5.82,97.97,51.27,0.58,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW26)",3.86,0.0867,2.9270,0.0650,3.5047,0.48,-0.57,-0.18,-0.51,-1.83,-0.91,-1.45,-2.21,-0.81,-5.82,97.97,51.27,0.58,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW24,ROW36)",3.15,0.0920,3.1381,0.0784,3.4649,0.12,-0.12,-0.41,-1.26,-1.44,-1.64,-1.02,-2.28,-0.33,-8.47,99.10,51.31,0.64,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW36)",3.15,0.0920,3.1381,0.0784,3.4649,0.12,-0.12,-0.41,-1.26,-1.44,-1.64,-1.02,-2.28,-0.33,-8.47,99.10,51.31,0.64,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9)",4.26,0.0913,3.0871,0.0669,3.4539,0.56,-0.72,0.39,-0.83,-1.85,-1.22,-0.90,-2.19,-1.17,-5.82,97.97,51.24,0.76,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW24)",4.26,0.0913,3.0871,0.0669,3.4539,0.56,-0.72,0.39,-0.83,-1.85,-1.22,-0.90,-2.19,-1.17,-5.82,97.97,51.24,0.76,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9)",4.70,0.0891,2.9974,0.0711,3.4235,0.60,-0.59,-0.13,-0.42,-1.86,-1.62,-0.65,-1.43,-1.62,-4.56,96.83,51.22,0.92,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW24)",4.70,0.0891,2.9974,0.0711,3.4235,0.60,-0.59,-0.13,-0.42,-1.86,-1.62,-0.65,-1.43,-1.62,-4.56,96.83,51.22,0.92,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW26)",3.58,0.0912,3.0815,0.0679,3.4124,1.18,-0.61,-0.62,-0.83,-1.31,-1.43,-1.12,-2.57,-0.64,-5.82,97.97,51.50,0.50,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26)",3.58,0.0912,3.0815,0.0679,3.4124,1.18,-0.61,-0.62,-0.83,-1.31,-1.43,-1.12,-2.57,-0.64,-5.82,97.97,51.50,0.50,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24)",3.74,0.0949,3.1973,0.0769,3.3838,0.72,0.18,-0.79,-0.81,-1.69,-0.95,-1.71,-1.97,-0.80,-4.56,96.83,51.57,0.72,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW26,ROW36)",2.84,0.0917,3.1269,0.0807,3.3733,0.83,-0.42,-0.90,-1.20,-1.22,-1.86,-1.03,-2.28,-0.20,-8.47,99.10,51.53,0.42,1.00,100.00
